protocol,block_date,symbol,TTL
eigenlayer,2023-11-20,cbETH,19535.20044
eigenlayer,2023-11-20,rETH,18502.88859
eigenlayer,2023-11-20,ethereum,16352
eigenlayer,2023-11-20,sfrxETH,0
eigenlayer,2023-11-20,swETH,0
eigenlayer,2023-11-20,osETH,0
eigenlayer,2023-11-20,mETH,0
eigenlayer,2023-11-20,OETH,0
eigenlayer,2023-11-20,ankrETH,0
eigenlayer,2023-11-20,lsETH,0
eigenlayer,2023-11-20,wBETH,0
eigenlayer,2023-11-20,ETHx,0
eigenlayer,2023-11-21,stETH,82071.02627
eigenlayer,2023-11-21,cbETH,19535.09509
eigenlayer,2023-11-21,rETH,18386.46644
eigenlayer,2023-11-21,ethereum,16672
eigenlayer,2023-11-21,swETH,0
eigenlayer,2023-11-21,sfrxETH,0
eigenlayer,2023-11-21,ankrETH,0
eigenlayer,2023-11-21,osETH,0
eigenlayer,2023-11-21,OETH,0
eigenlayer,2023-11-21,lsETH,0
eigenlayer,2023-11-21,ETHx,0
eigenlayer,2023-11-21,mETH,0
eigenlayer,2023-11-21,wBETH,0
eigenlayer,2023-11-22,stETH,82040.02701
eigenlayer,2023-11-22,cbETH,19526.69787
eigenlayer,2023-11-22,rETH,18381.37337
eigenlayer,2023-11-22,ethereum,16736
eigenlayer,2023-11-22,mETH,0
eigenlayer,2023-11-22,lsETH,0
eigenlayer,2023-11-22,ETHx,0
eigenlayer,2023-11-22,OETH,0
eigenlayer,2023-11-22,ankrETH,0
eigenlayer,2023-11-22,swETH,0
eigenlayer,2023-11-22,wBETH,0
eigenlayer,2023-11-22,sfrxETH,0
eigenlayer,2023-11-22,osETH,0
eigenlayer,2023-11-23,stETH,82030.0396
eigenlayer,2023-11-23,cbETH,19333.15091
eigenlayer,2023-11-23,rETH,18356.06332
eigenlayer,2023-11-23,ethereum,16738
eigenlayer,2023-11-23,ETHx,0
eigenlayer,2023-11-23,ankrETH,0
eigenlayer,2023-11-23,wBETH,0
eigenlayer,2023-11-23,swETH,0
eigenlayer,2023-11-23,osETH,0
eigenlayer,2023-11-23,mETH,0
eigenlayer,2023-11-23,sfrxETH,0
eigenlayer,2023-11-23,lsETH,0
eigenlayer,2023-11-23,OETH,0
eigenlayer,2023-11-24,stETH,81720.84682
eigenlayer,2023-11-24,cbETH,19322.28953
eigenlayer,2023-11-24,rETH,18354.27289
eigenlayer,2023-11-24,ethereum,17055
eigenlayer,2023-11-24,sfrxETH,0
eigenlayer,2023-11-24,OETH,0
eigenlayer,2023-11-24,osETH,0
eigenlayer,2023-11-24,ETHx,0
eigenlayer,2023-11-24,mETH,0
eigenlayer,2023-11-24,wBETH,0
eigenlayer,2023-11-24,lsETH,0
eigenlayer,2023-11-24,swETH,0
eigenlayer,2023-11-24,ankrETH,0
eigenlayer,2023-11-25,stETH,81693.808
eigenlayer,2023-11-25,cbETH,19196.7901
eigenlayer,2023-11-25,rETH,18353.27288
eigenlayer,2023-11-25,ethereum,17727
eigenlayer,2023-11-25,mETH,0
eigenlayer,2023-11-25,swETH,0
eigenlayer,2023-11-25,lsETH,0
eigenlayer,2023-11-25,ankrETH,0
eigenlayer,2023-11-25,OETH,0
eigenlayer,2023-11-25,osETH,0
eigenlayer,2023-11-25,ETHx,0
eigenlayer,2023-11-25,sfrxETH,0
eigenlayer,2023-11-25,wBETH,0
eigenlayer,2023-11-26,stETH,81612.45592
eigenlayer,2023-11-26,ethereum,20847
eigenlayer,2023-11-26,cbETH,19193.33927
eigenlayer,2023-11-26,rETH,18353.16288
eigenlayer,2023-11-26,swETH,0
eigenlayer,2023-11-26,OETH,0
eigenlayer,2023-11-26,mETH,0
eigenlayer,2023-11-26,ETHx,0
eigenlayer,2023-11-26,sfrxETH,0
eigenlayer,2023-11-26,ankrETH,0
eigenlayer,2023-11-26,lsETH,0
eigenlayer,2023-11-26,wBETH,0
eigenlayer,2023-11-26,osETH,0
eigenlayer,2023-11-27,stETH,81608.57783
eigenlayer,2023-11-27,ethereum,22771
eigenlayer,2023-11-27,cbETH,19193.33927
eigenlayer,2023-11-27,rETH,18353.16288
eigenlayer,2023-11-27,lsETH,0
eigenlayer,2023-11-27,ankrETH,0
eigenlayer,2023-11-27,mETH,0
eigenlayer,2023-11-27,sfrxETH,0
eigenlayer,2023-11-27,wBETH,0
eigenlayer,2023-11-27,swETH,0
eigenlayer,2023-11-27,ETHx,0
eigenlayer,2023-11-27,osETH,0
eigenlayer,2023-11-27,OETH,0
eigenlayer,2023-11-28,stETH,81543.99138
eigenlayer,2023-11-28,ethereum,23451
eigenlayer,2023-11-28,cbETH,19192.83918
eigenlayer,2023-11-28,rETH,18255.72574
eigenlayer,2023-11-28,mETH,0
eigenlayer,2023-11-28,ankrETH,0
eigenlayer,2023-11-28,sfrxETH,0
eigenlayer,2023-11-28,ETHx,0
eigenlayer,2023-11-28,wBETH,0
eigenlayer,2023-11-28,lsETH,0
eigenlayer,2023-11-28,osETH,0
eigenlayer,2023-11-28,swETH,0
